# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=1.045e-05 to 208.72 h/Mpc,
# number of wavenumbers equal to 135
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:h                     11:h_prime               12:eta                   13:eta_prime             14:H_T_Nb_prime          15:k2gamma_Nb            16:t_g                   17:t_b                   18:t_ur                  19:t_tot              
       3.304593757825e-03      -9.961433860636e-01      -1.145075817076e+00      -1.149234056695e+00      -9.500947251996e-01      -1.148746863907e+00      -1.143652566736e+00       5.834335104499e-01       5.764589042066e-01       2.298468113390e+00       3.062068450818e-03       9.615859846881e-01      -2.096621201663e-05       5.526640785417e-05      -3.618762007127e-08      -1.084769137148e-03      -1.305840943886e-06      -1.110208384297e-03      -4.187289476229e-05 
       4.160237057382e-03      -1.193929819261e+00      -1.786591594009e+00      -1.796962960134e+00      -1.111437075939e+00      -1.795601341956e+00      -1.777051368741e+00       5.695059597553e-01       5.657355380587e-01       3.593925920267e+00       4.754089877096e-03       9.424301236107e-01      -2.745904736448e-05       5.989404716987e-05      -4.710964065832e-08      -2.269953500306e-03      -3.220119558043e-06      -2.273455524211e-03      -8.691632114224e-05 
       5.237428150626e-03      -1.190847799819e+00      -2.765300701868e+00      -2.791066110308e+00      -1.078320422900e+00      -2.787454633270e+00      -2.739752770222e+00       5.508949746596e-01       5.503323104606e-01       5.582132220616e+00       7.315340107275e-03       9.160409776957e-01      -3.223997712550e-05       4.799632647829e-05      -5.458141053566e-08      -4.268098377713e-03      -7.870574453004e-06      -4.149168781158e-03      -1.617350482191e-04 
       6.593531391269e-03      -8.687226995874e-01      -4.232193147089e+00      -4.295821216520e+00      -7.976262881561e-01      -4.286548532958e+00      -4.186668320735e+00       5.278585260870e-01       5.293731056341e-01       8.591642433041e+00       1.113553348227e-02       8.818303543037e-01      -3.225029528503e-05       1.774416381048e-05      -5.284927798519e-08      -6.822182782816e-03      -1.901345322827e-05      -6.433816322072e-03      -2.563943909882e-04 
       8.300764221932e-03      -4.468363788736e-01      -6.379758519307e+00      -6.535484446640e+00      -5.394342790441e-01      -6.512250662105e+00      -6.337730271891e+00       5.014947355378e-01       5.029167286603e-01       1.307096889328e+01       1.675579047681e-02       8.402052082724e-01      -2.692331113392e-05      -3.191418590291e-06      -4.062920651382e-08      -8.898995776819e-03      -4.528122603485e-05      -8.496978893963e-03      -3.391751573602e-04 
       1.045004301630e-02      -5.397933022099e-01      -9.429828028336e+00      -9.805971054499e+00      -6.712749690115e-01      -9.749048064030e+00      -9.483973606936e+00       4.721296838241e-01       4.721156260750e-01       1.961194210900e+01       2.491817240392e-02       7.913018870849e-01      -2.252998611596e-05       2.381244171277e-05      -2.983844869173e-08      -1.112629401617e-02      -1.061158823718e-04      -1.180480882087e-02      -4.498505060597e-04 
       1.315582470756e-02      -8.207686475087e-01      -1.358588500695e+01      -1.447692390806e+01      -6.350111054062e-01      -1.434091454079e+01      -1.394731994278e+01       4.376317493475e-01       4.374033281070e-01       2.895384781611e+01       3.652934050139e-02       7.333069161620e-01      -2.376204544044e-05       3.834781682293e-05      -3.119478795462e-08      -1.868853139414e-02      -2.438987604551e-04      -1.899957631361e-02      -7.522076906958e-04 
       1.656220203743e-02      -3.341960821263e-01      -1.890371833840e+01      -2.095384193310e+01      -4.727288233044e-01      -2.063926759575e+01      -2.005326077837e+01       3.966226448432e-01       3.967858781331e-01       4.190768386620e+01       5.246557894574e-02       6.649568418278e-01      -2.151165844850e-05       5.451774373343e-06      -2.744933120822e-08      -2.669091682573e-02      -5.446539961751e-04      -2.552191756039e-02      -1.078813643447e-03 
       2.085057685325e-02      -6.195506750717e-01      -2.506912666715e+01      -2.957914580816e+01      -4.494556589718e-01      -2.888490361806e+01      -2.806498035855e+01       3.500339149265e-01       3.499759614743e-01       5.915829161632e+01       7.338533331427e-02       5.870484856292e-01      -1.985512823329e-05       2.755138936712e-05      -2.387459654832e-08      -3.656759324044e-02      -1.160559209419e-03      -3.751413249195e-02      -1.578768933013e-03 
       2.624919430780e-02      -3.377947049641e-01      -3.123894278064e+01      -4.048500515901e+01      -4.498760744064e-01      -3.905892506521e+01      -3.794017919220e+01       2.984572772112e-01       2.984625233621e-01       8.097001031802e+01       9.929408293199e-02       5.009175535491e-01      -1.748531088140e-05       1.452168092969e-05      -2.024857638458e-08      -4.824593363408e-02      -2.291488120865e-03      -4.990243963165e-02      -2.202976545856e-03 
       3.302838337676e-02      -4.049024218294e-01      -3.657978537718e+01      -5.349509187167e+01      -3.648961291907e-01      -5.088295494304e+01      -4.942320684527e+01       2.455088121850e-01       2.455308883250e-01       1.069901837433e+02       1.295081592436e-01       4.123582003457e-01      -1.517414173229e-05       9.708415958949e-06      -2.343029012439e-08      -6.332966528587e-02      -3.980336253441e-03      -6.484873357107e-02      -3.026512547556e-03 
       4.101872422216e-02      -1.788878581102e-01      -4.237675276699e+01      -6.774728248183e+01      -2.755496730975e-01      -6.382658199250e+01      -6.198943530454e+01       1.996165019705e-01       1.996220662277e-01       1.354945649637e+02       1.624953942601e-01       3.353787377434e-01      -1.280144244420e-05       6.810978585997e-06      -1.300861893557e-08      -8.198230584545e-02      -5.508626030119e-03      -8.185694698289e-02      -3.938182106111e-03 
       4.775842536111e-02      -2.811682480610e-01      -5.022944643580e+01      -7.948798964614e+01      -2.506142945230e-01      -7.496481102862e+01      -7.280908995969e+01       1.729353373114e-01       1.729364252755e-01       1.589759792923e+02       1.905852257831e-01       2.904114575035e-01      -1.073945695924e-05       1.009998627298e-05      -1.410670839135e-08      -9.485523821615e-02      -5.757411081367e-03      -9.563783636756e-02      -4.478781341992e-03 
       5.264570510113e-02      -2.043293083473e-01      -5.857420561793e+01      -8.819853710081e+01      -2.039830496803e-01      -8.361796088266e+01      -8.121179383406e+01       1.587246162475e-01       1.587246162475e-01       1.763970742016e+02       2.122430786619e-01       2.663954986385e-01      -9.522413817822e-06       8.199568072777e-06      -1.052690303597e-08      -1.061221018576e-01      -5.280845813156e-03      -1.061215393309e-01      -4.824495931429e-03 
       5.667545633467e-02      -1.927889229477e-01      -6.690153250121e+01      -9.556883902331e+01      -1.924604261526e-01      -9.113570685457e+01      -8.851316293164e+01       1.492656677793e-01       1.492656677793e-01       1.911376780466e+02       2.309687708941e-01       2.503707733057e-01      -8.650887544096e-06       7.711476064641e-06      -9.900273185911e-09      -1.154849233952e-01      -4.610744348740e-03      -1.154843854470e-01      -5.081087267294e-03 
       6.027320509601e-02      -1.838308093084e-01      -7.494394942233e+01      -1.022484190201e+02      -1.835161702944e-01      -9.802567307629e+01      -9.520476152634e+01       1.419534610471e-01       1.419534610471e-01       2.044968380401e+02       2.481218037002e-01       2.379907438398e-01      -7.991892012648e-06       7.333860483522e-06      -9.415476573753e-09      -1.240614204041e-01      -3.954398943580e-03      -1.240609018501e-01      -5.309801158451e-03 
       6.362857879445e-02      -1.761151562082e-01      -8.244034236286e+01      -1.084834506392e+02      -1.758127431569e-01      -1.044555290099e+02      -1.014494116716e+02       1.357301981757e-01       1.357301981757e-01       2.169669012783e+02       2.641539713224e-01       2.274760340160e-01      -7.478288206521e-06       7.012522032423e-06      -9.002930604109e-09      -1.320774863641e-01      -3.427194138410e-03      -1.320769856612e-01      -5.536405602541e-03 
       6.684191624236e-02      -1.689836335925e-01      -8.913876329524e+01      -1.143701518128e+02      -1.686929001912e-01      -1.104676112341e+02      -1.072882284122e+02       1.300715760303e-01       1.300715760303e-01       2.287403036257e+02       2.791933708868e-01       2.179432232566e-01      -7.068895473453e-06       6.720504409475e-06      -8.628027918064e-09      -1.395971681608e-01      -3.108188620427e-03      -1.395966854434e-01      -5.775103370184e-03 
       6.997336901236e-02      -1.620851941621e-01      -9.481506519399e+01      -1.199409592555e+02      -1.618061438448e-01      -1.160546450499e+02      -1.127141524567e+02       1.246919983844e-01       1.246919983844e-01       2.398819185110e+02       2.932371528590e-01       2.089092287583e-01      -6.739446485487e-06       6.443081166144e-06      -8.271862164225e-09      -1.466190402427e-01      -3.052729487728e-03      -1.466185764295e-01      -6.034076888987e-03 
       7.306244237960e-02      -1.552367405666e-01      -9.929585983970e+01      -1.252004707119e+02      -1.549696294743e-01      -1.211936758413e+02      -1.177049017696e+02       1.194345890603e-01       1.194345890603e-01       2.504009414237e+02       3.062367681656e-01       2.001063080978e-01      -6.471764023116e-06       6.172135591414e-06      -7.924012766040e-09      -1.531188277959e-01      -3.293653223377e-03      -1.531183840828e-01      -6.317289054874e-03 
       7.613697484152e-02      -1.483608892337e-01      -1.024772818839e+02      -1.301451821860e+02      -1.481060369815e-01      -1.258656551891e+02      -1.222419920221e+02       1.142225465636e-01       1.142225465636e-01       2.602903643720e+02       3.181468403878e-01       1.914003855108e-01      -6.250668262857e-06       5.903671206365e-06      -7.579348889110e-09      -1.590738426631e-01      -3.840617250753e-03      -1.590734201939e-01      -6.625313636095e-03 
